dataset_id,migrated_to_ingest,archived,archived_via_ingest,latest_version,latest_archived_at,stale_library_files_in_latest
bpl_libraries,True,True,True,20260417,,
bpl_libraries_supplemented,True,True,True,20260417,,
bpl_libraries_validation,True,True,True,20260417,,
cbbr_submissions,False,True,False,20240515,2024-05-15T14:55:04.572506-04:00,
council_members,True,True,False,20230411,2024-01-08 13:53:53,
dca_operatingbusinesses,True,True,True,20260109,,
dcas_ipis,True,True,True,20260421,,
dcla_culturalinstitutions,True,True,False,20210625,2023-07-18 17:11:17,
dcm_arterial_highways,True,True,True,20240201,,
dcp_access_ADA_subway,False,False,False,,,
dcp_access_subway_SBS,False,False,False,,,
dcp_addresspoints,True,True,True,20260512,,
dcp_air_quality_vent_towers,True,True,True,20240306,,
dcp_atomicpolygons,True,True,True,26b,,
dcp_beaches,False,True,False,20240509,2024-05-30T11:19:02.398270-04:00,
dcp_boroboundaries,True,True,True,26b,,
dcp_boroboundaries_wi,True,True,True,26b,,
dcp_cb2010,True,True,True,26b,,
dcp_cb2010_wi,True,True,True,26b,,
dcp_cb2020,True,True,True,26b,,
dcp_cb2020_wi,True,True,True,26b,,
dcp_cbbr_manualmappings,True,True,True,20250508,,
dcp_cbbr_requests,True,True,True,FY2027,,
dcp_cdboundaries,True,True,True,26b,,
dcp_cdboundaries_wi,True,True,True,26b,,
dcp_cdta2020,True,True,True,26b,,
dcp_censusdata,False,False,False,,,
dcp_censusdata_blocks,False,False,False,,,
dcp_colp,True,True,True,20260430,,
dcp_commercialoverlay,True,True,True,20260630,,
dcp_congressionaldistricts,True,True,True,26b,,
dcp_congressionaldistricts_wi,True,True,True,26b,,
dcp_councildistricts,True,True,True,26b,,
dcp_councildistricts_wi,True,True,True,26b,,
dcp_cscl_commonplace,True,True,True,20260711,,config.yml;dcp_cscl_commonplace.csv;dcp_cscl_commonplace.sql
dcp_cscl_complex,True,True,True,20260711,,config.yml;dcp_cscl_complex.csv;dcp_cscl_complex.sql
dcp_cscl_gdb,True,False,False,,,
dcp_ct2010,True,True,True,26b,,
dcp_ct2010_wi,True,True,True,26b,,
dcp_ct2020,True,True,True,26b,,
dcp_ct2020_wi,True,True,True,26b,,
dcp_dcmstreetcenterline,True,True,True,20251031,,
dcp_developments,True,True,True,25Q4,,config.yml;dcp_developments.csv;dcp_developments.sql
dcp_dot_trafficinjuries,False,False,False,,,
dcp_edesignation,True,True,True,20260707,,
dcp_edesignation_csv,True,True,True,20260518,,
