flag_variable_type,flag_id_field_name,variable_label,variable_type,dataset,join_to_lots,buffer_ft,type_ii_criteria_description
zoning_district,zoning_district,Zoning Districts,zoning_districts,dcp_mappluto_wi,,,
special_coastal_risk,special_coastal_risk,Special Coastal Risk Districts,special_coastal_risk_districts,dcp_mappluto_wi,,,Any of 3 special purpose district fields in PLUTO contain a CR% value
cats_permit,cats_permit,CATS Permits,cats_permits,dep_cats_permits,TRUE,400,
industrial_lots,industrial_lots,Unpermitted Industrial Sources,industrial_sources,dcp_mappluto_wi,,400,Land Use Code = 06 and 400 foot buffer
state_facility,state_facility,State Facility Permits,state_facility_permits,nysdec_state_facility_permits,TRUE,1000,
title_v_permit,title_v_permit,Clean Air Act Title V Permits,title_v_permits,nysdec_title_v_facility_permits,TRUE,1000,
vent_tower,vent_tower,Vent Towers,vent_towers,dcp_air_quality_vent_towers,FALSE,200,
e_des_air_quality,e_des_air_quality,(E) Designations - Air Quality,e_designations_air,dcp_edesignation_csv,,,Air Code = 1
e_des_noise,e_des_noise,(E) Designations - Noise,e_designations_noise,dcp_edesignation_csv,,,Noise Code = 1
arterial_highway,arterial_highway,Arterial Highways,arterial_highways,dcm_arterial_highways,FALSE,200,
exposed_railway,exposed_railway,Exposed Railways,exposed_railways,dcp_lion,FALSE,1500,
airport_noise_jfk,airport_noise,Airport Noise Exposure Zone - JFK,airport_noise_jfk,panynj_jfk_65db,FALSE,0,
airport_noise_lga,airport_noise,Airport Noise Exposure Zone - LGA,airport_noise_lga,panynj_lga_65db,FALSE,0,
e_des_hazmat,e_des_hazmat,(E) Designations - HazMat,e_designations_hazmat,dcp_edesignation_csv,FALSE,0,HazMat Code = 1
nr_freshwater_wetlands,natural_resources,State Regulated Freshwater Wetlands,freshwater_wetlands,nysdec_freshwater_wetlands,FALSE,0,
nr_tidal_wetlands,natural_resources,State Regulated Tidal Wetlands,tidal_wetlands,nysdec_tidal_wetlands,FALSE,0,
nr_priority_waterbodies_lakes,natural_resources,Priority Waterbodies - Lakes,priority_waterbodies_lakes,nysdec_priority_lakes,FALSE,0,
nr_priority_waterbodies_estuaries,natural_resources,Priority Waterbodies - Estuaries,priority_waterbodies_estuaries,nysdec_priority_estuaries,FALSE,0,
nr_priority_waterbodies_streams,natural_resources,Priority Waterbodies - Streams,priority_waterbodies_streams,nysdec_priority_streams,FALSE,0,
nr_beaches,natural_resources,Beaches,beaches,dcp_beaches,FALSE,0,
nr_natural_heritage_communities,natural_resources,Significant Natural Communities,natural_heritage_communities,nysdec_natural_heritage_communities,FALSE,0,
nr_usfws_wetlands,natural_resources,National Wetlands,usfws_wetlands,usfws_nyc_wetlands,FALSE,0,
nr_rec,natural_resources,Recognized Ecological Complexes,rec,dcp_wrp_rec,TRUE,0,
nr_snwa,natural_resources,Special Natural Waterfront Areas,snwa,dcp_wrp_snwa,FALSE,0,
nr_forever_wild,natural_resources,NYC Parks Forever Wild,forever_wild,dpr_forever_wild,FALSE,0,
wetland_checkzone,wetland_checkzone,State Regulated Freshwater Wetlands - Checkzone,wetlands_checkzones,nysdec_freshwater_wetlands_checkzones,FALSE,0,
archaeological_area,archaeological_area,State Archeological Buffer Areas,archaeological_areas,nysshpo_archaeological_buffer_areas,FALSE,0,
hd_nyc_historic_districts,historic_districts,NYC Historic Districts,nyc_historic_districts,lpc_historic_district_areas,FALSE,0,
